Фемија,Фемия,1,153,22.12.1801,22.12.1801,кћи,грчко,изведено,оптатив,о којој се говори
Наста,Наста,1,153,,,мати,грчко,посвојено/деминутив,слава,васкрсла
Јованка,Йѡ́анка,1,154,,,мати,јеврејско,библијско,благодарно,милост Бога
Стана,Стана,1,155,,,мати,српско,изведено,оптатив/профилактичко,стајати
Пелагија,Пелагія,1,156,,,мати,грчко,изведено,слава,морска
Макрена,Макрена,1,157,30.12.1801,31.12.1801,кћи,грчко,изведено,слава,далека
Дока,Дока,1,157,,,мати,грчко,деминутив,слава,којој се надају
Макрена,Макрена,1,158,,,мати,грчко,изведено,слава,далека
Фема,Фема,1,159,,,мати,грчко,самотворно,оптатив,о којој се говори
Персида,Персида,1,160,16.01.1802,17.01.1802,кћи,грчко,етноним,описни придев,персијанка
Ана,А҆́нна,1,160,,,мати,јеврејско,библијско,благодарно,милост
Теофана,Ѳеѡфана,1,161,,,мати,грчко,сложено/феминитив,теофорно/слава,богом јављена
Марија,Марія,1,162,,,мати,јеврејско,библијско,благодарно,милост
Агатија,А҆́гатія,1,163,10.07.1801,13.07.1801,кћи,грчко,изведено,описни придев,добра/блага
Кристина,Кристіна,1,164,15.02.1802,16.02.1802,кћи,грчко,изведено,теофорно,Христова
Стана,Стана,1,164,,,мати,српско,изведено,оптатив/профилактичко,стајати
Марија,Марія,1,164,,,кума,јеврејско,библијско,благодарно,милост
Марта,Марта,1,165,16.02.1802,20.02.1802,кћи,јеврејско,посвојено,слава,госпођа
Јела,Е҆́ла,1,165,,,мати,грчко,посвојено/деминутив,слава,топлина сунчеве светлости
Наста,Наста,1,166,,,мати,грчко,посвојено/деминутив,слава,васкрсла
Јелисавета,Е҆́лисавета,1,167,,,мати,јеврејско,библијско,теофорно/слава,бог је заклетва
Марта,Марта,1,168,12.04.1802,14.04.1802,кћи,јеврејско,посвојено,слава,госпођа
Марија,Маріа,1,168,,,мати,јеврејско,библијско,благодарно,милост
Макрена,Макрена,1,169,17.04.1802,18.04.1802,кћи,грчко,изведено,слава,далека
Кумрија,Кꙋмрия,1,169,,,мати,турско,некалендарско,зооним,грлица/гугутка
Теодосија,Ѳеѡдосія,1,170,17.04.1802,18.04.1802,кћи,грчко,сложено,теофорно/слава,божји дар
Ђула,Ћꙋла,1,170,,,мати,грчко,посвојено/деминутив,свето,< Георгије
Јека,Е҆́ка́,1,171,,,мати,грчко,деминутив,благодарно,топлина сунчеве светлости
Јана,Йянна,1,171,,,кума,јеврејско,библијско/деминутив,благодарно,милост Бога
Марија,Маріа,1,172,,,мати,јеврејско,библијско,благодарно,милост
Стана,Станна,1,173,24.04.1802,26.04.1802,кћи,српско,изведено,оптатив/профилактичко,стајати
Јелка,Е҆́лка,1,173,,,мати,грчко,деминутив,благодарно,топлина сунчеве светлости
Ана,А҆́нна,1,174,29.04.1802,30.04.1802,кћи,јеврејско,библијско,благодарно,милост
Јелисавета,Е҆́лисавета,1,174,,,мати,јеврејско,библијско,теофорно/слава,бог је заклетва
Ђула,Ћꙋла,1,175,,,мати,грчко,посвојено/деминутив,свето,< Георгије
Ана,А҆́нна,1,176,,,мати,јеврејско,библијско,благодарно,милост
Марта,Марта,1,177,,,мати,јеврејско,посвојено,слава,госпођа
Живана,Живана,1,178,20.05.1802,25.05.1802,кћи,српско,изведено,профилактичко,живот
Наста,Наста,1,178,,,мати,грчко,посвојено/деминутив,слава,васкрсла
Јованка,Йѡ́ванка,1,179,,,мати,јеврејско,библијско,благодарно,милост Бога
Марија,Маріа,1,180,,,мати,јеврејско,библијско,благодарно,милост
Алексија,А҆́леѯия,1,181,05.07.1802,07.07.1802,кћи,грчко,изведено/феминитив,профилактичко/слава,заштитница/бранитељка
Сара,Са́ра,1,181,,,мати,јеврејско,библијско,слава,кнегиња
Стана,Стана,1,182,09.07.1802,11.02.1802,кћи,српско,изведено,оптатив/профилактичко,стајати
Радојка,Радойка,1,182,,,мати,српско,изведено,профилактичко/благодарно,радост
Алексија,А҆́леѯиа,1,183,09.07.1802,11.07.1802,кћи,грчко,изведено/феминитив,профилактичко/слава,заштитница/бранитељка
Марта,Марта,1,183,,,мати,јеврејско,посвојено,слава,госпођа
Мара,Мара,1,184,,,мати,јеврејско,посвојено/деминутив,слава,< Марија
Марта,Марта,1,185,,,мати,јеврејско,посвојено,слава,госпођа
Мара,Мара,1,186,,,мати,јеврејско,посвојено/деминутив,слава,< Марија
Наста,Наста,1,187,,,мати,грчко,посвојено/деминутив,слава,васкрсла
Пелагија,Пелагіа,1,188,,,мати,грчко,изведено,слава,морска
